type	latitude	longitude	altitude (m)	eos	name	desc
T	22.246610700	113.935429400	495.9			
T	22.246699300	113.935108100	494.9			
T	22.247132700	113.934293600	503.1			
T	22.247243700	113.934201800	506.3			
T	22.247421500	113.934222200	505.4			
T	22.247664900	113.934053300	506.9			
T	22.247989700	113.933744500	509.6			
T	22.248047600	113.933680100	509.1			
T	22.248017800	113.933557800	513.3			
T	22.248083300	113.933464400	519.8			
T	22.248050800	113.933298900	530.9			
T	22.248048600	113.933132900	540.2			
T	22.248196500	113.932916200	553.8			
T	22.248147900	113.932639100	561.2			
T	22.248849400	113.931793400	602.5			
T	22.248912100	113.930989100	608.2			
T	22.248862500	113.930784200	615.5			
T	22.248777100	113.930431200	621.6			
T	22.248892900	113.930036300	618.0			
T	22.248986700	113.929840000	615.5			
T	22.248907500	113.929394700	626.4			
T	22.248906800	113.928920500	632.2			
T	22.249029700	113.928615800	654.9			
T	22.249343900	113.928374700	683.5			
T	22.249441800	113.928166000	687.0			
T	22.249448300	113.928135600	686.0			
T	22.249454300	113.928110800	685.0			
T	22.249486900	113.928082100	681.6			
T	22.249508700	113.928030000	679.7			
T	22.249479700	113.927996100	682.7			
T	22.249473700	113.927943900	683.9			
T	22.249461600	113.927900900	685.6			
T	22.249343300	113.927793900	695.4			
T	22.249304700	113.927670000	698.2			
T	22.249185200	113.927590500	704.9			
T	22.249179100	113.927546100	704.8			
T	22.249221400	113.927428800	702.5			
T	22.249209300	113.927303600	704.0			
T	22.249210500	113.927227900	704.4			
T	22.249174300	113.927128800	706.6			
T	22.249174300	113.927100100	706.5			
T	22.249136900	113.926858800	705.1			
T	22.249070500	113.926783200	706.4			
T	22.248966700	113.926609800	710.1			
T	22.248905100	113.926406300	709.7			
T	22.248897900	113.926221100	708.4			
T	22.248925700	113.926124600	706.4			
T	22.248919600	113.926069800	705.8			
T	22.248883400	113.926028100	706.4			
T	22.248882200	113.925979900	705.5			
T	22.248889400	113.925919900	704.5			
T	22.248864500	113.925725400	705.3			
T	22.248861700	113.925703400	705.9			
T	22.248885800	113.925619900	708.3			
T	22.248878600	113.925483000	712.5			
T	22.248926900	113.925398200	714.6			
T	22.248891900	113.925338200	717.7			
T	22.248903900	113.925308200	718.5			
T	22.248864100	113.925220800	720.8			
T	22.248872500	113.925136100	722.4			
T	22.248879200	113.924939100	726.2			
T	22.248863000	113.924892800	726.9			
T	22.248864200	113.924849400	727.8			
T	22.248897500	113.924820500	728.8			
T	22.248913200	113.924648000	736.7			
T	22.248948600	113.924499400	748.0			
T	22.248979800	113.924424800	753.0			
T	22.248980400	113.924321500	757.9			
T	22.249003400	113.924269200	760.2			
T	22.248984200	113.924228300	762.4			
T	22.248989000	113.924196800	763.8			
T	22.249000700	113.924124700	766.6			
