type	latitude	longitude	altitude (m)	eos	name	desc
T	22.400690100	114.368088100	6.9			
T	22.400697000	114.368080000	6.9			
T	22.400753500	114.368115900	6.9			
T	22.400783000	114.368145600	6.9			
T	22.400993300	114.368245400	8.9			
T	22.400897000	114.368555000	9.3			
T	22.400841000	114.368659000	8.9			
T	22.400677500	114.368896000	9.4			
T	22.400631200	114.368951600	9.7			
T	22.400628800	114.368962000	9.8			
T	22.400627000	114.369013600	10.9			
T	22.400318500	114.369327000	8.4			
T	22.400314300	114.369347400	8.6			
T	22.400315800	114.369408100	9.6			
T	22.400282500	114.369486600	9.4			
T	22.400283000	114.369510800	9.6			
T	22.400320400	114.369507100	10.6			
T	22.400348600	114.369571100	11.8			
T	22.400365900	114.369636300	12.7			
T	22.400394900	114.369715600	13.9			
T	22.400437500	114.369763800	14.7			
T	22.400522000	114.369899200	15.9			
T	22.400600400	114.369909500	18.4			
T	22.400660300	114.369878900	21.0			
T	22.400786400	114.369950500	25.5			
T	22.400912000	114.369950700	30.9			
T	22.401010000	114.370061000	34.2			
T	22.401140000	114.370122200	39.0			
T	22.401152200	114.370291600	36.5			
T	22.401185500	114.370495600	34.1			
T	22.401186700	114.370820500	31.6			
T	22.401213600	114.371038800	30.5			
T	22.401231100	114.371282300	27.7			
T	22.401293600	114.371423700	27.1			
T	22.401486500	114.371572400	27.9			
T	22.401655500	114.371559900	29.2			
T	22.401811900	114.371433700	31.2			
T	22.402052500	114.371239500	33.6			
T	22.402151300	114.371149400	35.2			
T	22.402273900	114.371068200	37.9			
T	22.402413700	114.371047100	41.4			
T	22.402626000	114.371097800	46.3			
T	22.402728000	114.371359100	44.4			
T	22.402793800	114.371457100	44.6			
T	22.402943100	114.371526900	47.1			
T	22.403200600	114.371532500	53.6			
T	22.403324900	114.371640800	56.0			
T	22.403450100	114.371725300	58.7			
T	22.403503800	114.371888600	59.7			
T	22.403659800	114.372044200	64.3			
T	22.403680000	114.372185000	64.8			
T	22.403749000	114.372253000	66.6			
T	22.403827700	114.372311900	68.6			
T	22.403842900	114.372404900	69.1			
T	22.403822000	114.372690700	69.5			
T	22.403916000	114.372731000	71.2			
T	22.404095100	114.372856500	73.8			
T	22.404293200	114.372907100	77.8			
T	22.404433700	114.372900000	80.9			
T	22.404582100	114.372853300	84.1			
T	22.404664000	114.372879500	85.5			
T	22.404785500	114.373014100	87.1			
T	22.404903900	114.373116600	87.7			
T	22.405053000	114.373189000	88.3			
T	22.405264100	114.373330900	86.0			
T	22.405299600	114.373538700	75.0			
T	22.405327500	114.373676200	67.6			
T	22.405371800	114.373739200	64.4			
T	22.405455300	114.373847400	59.7			
T	22.405520100	114.373915700	57.0			
T	22.405623600	114.373906500	57.5			
T	22.405738900	114.373878000	58.1			
T	22.405711600	114.373968200	53.1			
T	22.405776300	114.373950100	53.6			
T	22.405930900	114.373873700	48.3			
T	22.406062300	114.373788000	41.4			
T	22.406146200	114.373687700	42.5			
T	22.406303600	114.373516000	42.0			
T	22.406462300	114.373369500	42.9			
T	22.406514500	114.373329500	43.8			
T	22.406572700	114.373324400	43.4			
T	22.406599500	114.373323300	43.1			
T	22.406652400	114.373332300	42.2			
T	22.406775000	114.373400600	43.3			
T	22.406827200	114.373560800	41.1			
T	22.406956200	114.373730900	39.7			
T	22.407043600	114.373805300	41.2			
T	22.407127700	114.373998500	35.6			
T	22.407221600	114.374148100	31.0			
T	22.407316600	114.374171300	30.4			
T	22.407464000	114.374170000	31.5			
T	22.407599600	114.374285800	23.9			
